name_track,artist_track,uri_track,popularity,danceability
Sabbath Bloody Sabbath - 2014 Remaster,Black Sabbath,spotify:track:2bku1YWarHpKlxVC2FB9dH,53,36
A National Acrobat - 2013 Remaster,Black Sabbath,spotify:track:0QuclG0uX1lm9E7uRfVWzc,47,38
Wheels of Confusion / The Straightener - 2014 Remaster,Black Sabbath,spotify:track:0zALOXEZdMLsuFAW8P8PUC,40,27
Tomorrow's Dream - 2014 Remaster,Black Sabbath,spotify:track:0FnUHRtUgopfEoIVrGfkH0,36,48
Supernaut - 2014 Remaster,Black Sabbath,spotify:track:1fJTWLZHIAwPdGoBzEYnhp,47,38
Snowblind - 2014 Remaster,Black Sabbath,spotify:track:5w091st8zPd8c01LFzTY8B,48,44
Under the Sun - 2014 Remaster,Black Sabbath,spotify:track:0T7zraoBpNHSqwyr40UrNN,42,33
Can't Find My Way Home,Blind Faith,spotify:track:3VyJGPYr2DF9gdBNosSao4,63,52
Well All Right,Blind Faith,spotify:track:3p0dqXyYn3ZpJmPiUpisCl,37,43
Presence Of The Lord,Blind Faith,spotify:track:2XwjAUCmhAa6XccL9p0lGM,35,48
Subterranean Homesick Blues,Bob Dylan,spotify:track:6k9DUKMJpWvu6eFG3O64Lg,59,58
Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,70,48
"Lay, Lady, Lay",Bob Dylan,spotify:track:4uYwlMp841PLJmj1gJJwIq,63,52
The Man in Me,Bob Dylan,spotify:track:7xRemq7GLu0Tbqe9OckG87,60,42
Shelter from the Storm,Bob Dylan,spotify:track:3y4Uza6K58JXQ7RYya8ZI5,63,49
Knockin' On Heaven's Door,Bob Dylan,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,72,51
Positively 4th Street - Single Version,Bob Dylan,spotify:track:4heMx0OAwfILu13Lf0VbBM,48,56
Rock And Roll Never Forgets,Bob Seger,spotify:track:4cVRPrhh7mTVejhx73qA6U,57,52
Beautiful Loser - Live In Detroit/1975,Bob Seger,spotify:track:1qRqgmMlMHxxHMLPJCTn4V,39,45
More Than a Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF,79,38
Peace of Mind,Boston,spotify:track:1GqlvSEtMx5xbGptxOTTyk,68,42
Foreplay / Long Time,Boston,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,64,44
Rock & Roll Band,Boston,spotify:track:5E89Izp4YhPyNShoxiOJ1u,59,49
Smokin',Boston,spotify:track:5u5qlnyVaewWugJIjzilIc,63,20
Hitch a Ride,Boston,spotify:track:0870QNicMawQH2cnzBVZ3P,55,38
Something About You,Boston,spotify:track:1KxNmUInjFsoDFrLaTtpLZ,50,26
Let Me Take You Home Tonight,Boston,spotify:track:6485cn8SoHq6qPdmeQcw4x,51,49
Don't Look Back,Boston,spotify:track:4QySZtWymRGNgrwxZOODKF,60,36
Feelin' Satisfied,Boston,spotify:track:0yqIpi7zj74a0CRCedacOW,49,50
The Letter,The Box Tops,spotify:track:6RJK553YhstRzyKA4mug09,67,64
Lido Shuffle,Boz Scaggs,spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F,67,59
Spirit in the Night,Bruce Springsteen,spotify:track:2D9YnxyNwj7qqA1JLyKYPR,45,49
Blinded By The Light,Bruce Springsteen,spotify:track:1VyDQtfhX6gqhWTGU7Oe8X,51,50
Rosalita (Come Out Tonight),Bruce Springsteen,spotify:track:4Z80C8NlDd1AO4axf1O3n0,55,28
Thunder Road,Bruce Springsteen,spotify:track:56lhDZNQ5J47aog6mGKeGk,65,37
Tenth Avenue Freeze-Out,Bruce Springsteen,spotify:track:4Gmdm6oRVwJgsM8gYnwRoE,54,70
Backstreets,Bruce Springsteen,spotify:track:4cKJsZuzbNBpdxeMC9pBQG,51,22
Jungleland,Bruce Springsteen,spotify:track:3R2q3FCnNIw2XhuEbYtYk6,53,30
Born to Run,Bruce Springsteen,spotify:track:6hTcuIQa0sxrrByu9wTD7s,73,27
For What It's Worth,Buffalo Springfield,spotify:track:1qRA5BS78u3gME0loMl9AA,78,65
Mr. Tambourine Man,The Byrds,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,64,46
I'll Feel a Whole Lot Better,The Byrds,spotify:track:2hIGz0CXlqA2ukeuUl8DYP,41,40
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,spotify:track:5qBqBdfTEIWJwAS0Jm2F5R,65,45
5D (Fifth Dimension),The Byrds,spotify:track:7jvptnW3PMozIQq4C6uJB9,40,19
Eight Miles High,The Byrds,spotify:track:2BGNomqCxEDcXyxf8bg27k,53,36
My Back Pages,The Byrds,spotify:track:1yexhSDARSLVvRCBU3wDAm,56,56
You Ain't Goin' Nowhere,The Byrds,spotify:track:6kPxXhjSvy8RsmZBAJUiFs,58,51
Rollin' And Tumblin',Canned Heat,spotify:track:2Ihc193y6t3DNixXjQWTZD,41,68
On The Road Again,Canned Heat,spotify:track:0PRJmbFX6z9OxQ57OFHCqd,53,55
Goin' Up The Country,Canned Heat,spotify:track:6MmEhuhrGUoMgfOzwqMyn5,46,63
