name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
Comfortably Numb - 2011 Remastered Version,Pink Floyd,spotify:track:7Fg4jpwpkdkGCvq1rrXnvx,67,127,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",https://i.scdn.co/image/ab67616d00004851f34e8811de255b34c56301d8
Joker And The Thief,Wolfmother,spotify:track:6dNJ3lasVLPd0078T9yqlm,63,156,"alternative rock, australian psych, garage rock, modern alternative rock, modern blues rock, modern rock, rock",https://i.scdn.co/image/ab67616d00004851335534788cbc39cfd23ee993
Come As You Are,Nirvana,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,78,120,"grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6
Bloodbuzz Ohio,The National,spotify:track:5idVbYWHOBsFktyGq9KhkL,56,157,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d000048514fb2bd6896a902c5432a6de5
Paranoid,Black Sabbath,spotify:track:1jzDzZWeSDBg5fhNc3tczV,80,163,"album rock, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",https://i.scdn.co/image/ab67616d000048519683e5d7361bb80bfb00f46d
Bliss,Muse,spotify:track:0j3obufLXq5toSs592dX9U,56,128,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d000048515225e9931a558f6d2f541a7d
Seventeen Going Under,Sam Fender,spotify:track:5rF6YUIlgiat22OT1lWspJ,71,162,"modern rock, north east england indie",https://i.scdn.co/image/ab67616d000048515918af42c697829fd84de59f
Charlie Big Potato,Skunk Anansie,spotify:track:7Bf0RPsldDH7jVi9H3wODv,43,159,british alternative rock,https://i.scdn.co/image/ab67616d00004851fc7dc3553f8c182c5cc1e00a
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,84,116,"australian rock, hard rock, rock",https://i.scdn.co/image/ab67616d0000485151c02a77d09dfcd53c8676d0
One Day Like This,Elbow,spotify:track:1OZSVl0JJ1MBzibpuhmmXb,61,159,"musica campista, musica paraibana, neo-psicodelia brasileira, rock paraibano",https://i.scdn.co/image/ab67616d00004851967a417ba6b1db017324e8a8
Rooster (2022 Remaster),Alice In Chains,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,69,144,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",https://i.scdn.co/image/ab67616d000048511cd131e5e9ad887ad8c1ecb7
Red,Ramkot,spotify:track:7zTGRorp2eubipDaccngn6,31,120,"dutch rock, ghent indie",https://i.scdn.co/image/ab67616d00004851e09e7dc524eea3b411687c83
Born Slippy (Nuxx),Underworld,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,65,140,dark trap,https://i.scdn.co/image/ab67616d000048511e34bdf6792b78c2da36a767
